id,name,district_id
MOH-45120,Poonakary,LK-45
MOH-51030,Vakarai,LK-51
MOH-51040,Koralaipattu ( Oddmavadi Central ),LK-51
MOH-51060,Kiran,LK-51
MOH-51090,Ottamavadi,LK-51
MOH-51100,Valaichenai,LK-51
MOH-51120,Chenkalady,LK-51
MOH-51150,Eravur,LK-51
MOH-51180,Batticaloa,LK-51
MOH-51210,Vavunathivu,LK-51
MOH-51240,Kattankudy,LK-51
MOH-51270,Arayampathy,LK-51
MOH-51300,Paddipalai,LK-51
MOH-51330,Vellaveli,LK-51
MOH-51360,Kaluwanchikudy,LK-51
MOH-52030,Dehiyathakandiya,LK-52
MOH-52060,Padiyathalawa,LK-52
MOH-52090,Mahaoya,LK-52
MOH-52120,Uhana,LK-52
MOH-52150,Ampara,LK-52
MOH-52160,Navithanveli,LK-52
MOH-52180,Sammanthurai,LK-52
MOH-52241,Kalmunai South ( Muslim Div ),LK-52
MOH-52242,Kalnumai North ( Tamil Div ),LK-52
MOH-52250,Sainthamaruthu,LK-52
MOH-52270,Karaithivu,LK-52
MOH-52300,Ninthavur,LK-52
MOH-52330,Addachchenai,LK-52
MOH-52340,Irakkamam,LK-52
MOH-52360,Akkaraipattu,LK-52
MOH-52390,Alayadivembu,LK-52
MOH-52420,Damana,LK-52
MOH-52450,Thirukkovil,LK-52
MOH-52480,Pottuvil,LK-52
MOH-52510,Lahugala,LK-52
MOH-53031,Padavi Sri Pura,LK-53
MOH-53061,Kuchchaveli,LK-53
MOH-53091,Gomarankadawala,LK-53
MOH-53152,Seruvila,LK-53
MOH-53153,Trincomalee,LK-53
MOH-53154,Uppuveli,LK-53
MOH-53180,Thampalagamam,LK-53
MOH-53210,Kanthale,LK-53
MOH-53240,Kinniya,LK-53
MOH-53272,Muthur,LK-53
MOH-53330,Eachchilampatru,LK-53
MOH-61030,Giribawa,LK-61
MOH-61061,Galgamuwa,LK-61
MOH-61120,Ambanpola,LK-61
MOH-61150,Kotawehera,LK-61
MOH-61181,Nikaweratiya,LK-61
MOH-61240,Mahawa,LK-61
MOH-61270,Polpithigama,LK-61
MOH-61300,Ibbagamuwa,LK-61
MOH-61330,Ganewatta,LK-61
MOH-61360,Wariyapola,LK-61
MOH-61390,Kobeigane,LK-61
MOH-61420,Bingiriya,LK-61
MOH-61451,Panduwasnuwara,LK-61
MOH-61491,Bamunukotuwa,LK-61
MOH-61492,Katupotha,LK-61
MOH-61510,Maspotha,LK-61
MOH-61540,Kurunegala,LK-61
MOH-61570,Mallawapitiya,LK-61
MOH-61600,Mawathagama,LK-61
MOH-61631,Galnewa,LK-61
MOH-61632,Rideegama,LK-61
MOH-61660,Weerambugedara,LK-61
MOH-61691,Kuliyapitiya,LK-61
MOH-61750,Udubaddawa,LK-61
MOH-61780,Pannala,LK-61
MOH-61810,Narammala,LK-61
MOH-61840,Alawwa,LK-61
MOH-61870,Polgahawela,LK-61
MOH-62030,Kalpitiya,LK-62
MOH-62061,Puttalam,LK-62
MOH-62091,Karuwalagaswewa,LK-62
MOH-62180,Mundalama,LK-62
MOH-62211,Anamaduwa,LK-62
MOH-62270,Pallama,LK-62
MOH-62300,Arachchikattuwa,LK-62
MOH-62331,Chilaw,LK-62
MOH-62390,Mahawewa,LK-62
MOH-62420,Nattandiya,LK-62
MOH-62450,Wennappuwa,LK-62
MOH-62480,Dankotuwa,LK-62
MOH-71030,Padaviya,LK-71
MOH-71060,Kebithigollewa,LK-71
MOH-71090,Medawachchiya,LK-71
MOH-71121,Nuwaragam Palatha Central,LK-71
MOH-71180,Rambewa,LK-71
MOH-71210,Kahatagasdigiliya,LK-71
MOH-71240,Horowpothana,LK-71
MOH-71270,Galenbidunuwawe,LK-71
MOH-71300,Mihintale,LK-71
MOH-71331,Nuwaragam Palatha East,LK-71
MOH-71362,Thirappane,LK-71
MOH-71390,Nochchiyagama,LK-71
MOH-71420,Rajanganaya,LK-71
MOH-71450,Thambuttegama,LK-71
MOH-71480,Thalawa,LK-71
MOH-71541,Kekirawa,LK-71
MOH-71600,Ipalogama,LK-71
MOH-71660,Palagala,LK-71
MOH-72030,Hingurakgoda,LK-72
MOH-72060,Medirigiriya,LK-72
MOH-72090,Lankapura,LK-72
MOH-72100,Welikanda,LK-72
MOH-72120,Dimbulagala,LK-72
MOH-72150,Thamankaduwa,LK-72
MOH-72180,Elahera,LK-72
MOH-81031,Girandurukotte,LK-81
MOH-81032,Mahiyanganaya,LK-81
MOH-81060,Rideemaliyadda,LK-81
MOH-81090,Meegahakivula,LK-81
MOH-81120,Kandaketiya,LK-81
MOH-81150,Soranathota,LK-81
MOH-81180,Passara,LK-81
MOH-81190,Lunugala,LK-81
MOH-81210,Badulla,LK-81
MOH-81240,Haliela,LK-81
MOH-81270,Uva Paranagama,LK-81
MOH-81300,Welimada,LK-81
MOH-81330,Bandarawela,LK-81
MOH-81360,Ella,LK-81
MOH-81390,Haputhale,LK-81
MOH-81420,Haldummulla,LK-81
MOH-82030,Bibila,LK-82
MOH-82060,Madulla,LK-82
MOH-82091,Monaragala,LK-82
MOH-82120,Siyambalanduwa,LK-82
MOH-82180,Badalkumbura,LK-82
MOH-82210,Wellawaya,LK-82
MOH-82240,Buttala,LK-82
MOH-82270,Kataragama,LK-82
MOH-82300,Thanamalwila,LK-82
MOH-82330,Sevanagala,LK-82
MOH-91030,Eheliyagoda,LK-91
MOH-91060,Kuruwita,LK-91
MOH-91090,Kiriella,LK-91
MOH-91121,Pelmadulla,LK-91
MOH-91122,Ratnapura,LK-91
MOH-91123,Ratnapura-Mc,LK-91
MOH-91150,Imbulpe,LK-91
MOH-91180,Balangoda,LK-91
MOH-91210,Opanayaka,LK-91
MOH-91270,Elapatha,LK-91
MOH-91300,Ayagama,LK-91
MOH-91330,Kalawana,LK-91
MOH-91360,Nivithigala,LK-91
MOH-91390,Kahawaththa,LK-91
MOH-91420,Godakawela,LK-91
MOH-91450,Weligepola,LK-91
MOH-91480,Embilipitiya,LK-91
MOH-91510,Kolonna,LK-91
MOH-92030,Rambukkana,LK-92
MOH-92060,Mawanella,LK-92
MOH-92091,Aranayaka,LK-92
MOH-92092,Kegalle,LK-92
MOH-92150,Galigamuwa,LK-92
MOH-92180,Warakapola,LK-92
MOH-92210,Ruwanwella,LK-92
MOH-92240,Bulathkohupitiya,LK-92
MOH-92270,Yatiyanthota,LK-92
MOH-92300,Dehiovita,LK-92
MOH-92330,Deraniyagala,LK-92
