id,name,district_id
LK-5130,Manmunai South-West,LK-51
LK-5133,Porativu Pattu,LK-51
LK-5136,Manmunai South & Eruvil pattu,LK-51
LK-5203,Dehiattakandiya,LK-52
LK-5206,Padiyathalawa,LK-52
LK-5209,Mahaoya,LK-52
LK-5212,Uhana,LK-52
LK-5215,Ampara,LK-52
LK-5216,Navithanveli,LK-52
LK-5218,Samanthurai,LK-52
LK-5221,Kalmunai Tamil Division,LK-52
LK-5224,Kalmunai,LK-52
LK-5225,Sainthamaruthu,LK-52
LK-5227,Karaitheevu,LK-52
LK-5230,Ninthavur,LK-52
LK-5233,Addalachchenai,LK-52
LK-5234,Irakkamam,LK-52
LK-5236,Akkaraipattu,LK-52
LK-5239,Alayadiwembu,LK-52
LK-5242,Damana,LK-52
LK-5245,Thirukkovil,LK-52
LK-5248,Pothuvil,LK-52
LK-5251,Lahugala,LK-52
LK-5303,Padavi Sri Pura,LK-53
LK-5306,Kuchchaveli,LK-53
LK-5309,Gomarankadawala,LK-53
LK-5312,Morawewa,LK-53
LK-5315,Trincomalee Town and Gravets,LK-53
LK-5318,Thambalagamuwa,LK-53
LK-5321,Kanthale,LK-53
LK-5324,Kinniya,LK-53
LK-5327,Muttur,LK-53
LK-5330,Seruvila,LK-53
LK-5333,Verugal (Eachchilampattu),LK-53
LK-6103,Giribawa,LK-61
LK-6106,Galgamuwa,LK-61
LK-6109,Ehetuwewa,LK-61
LK-6112,Ambanpola,LK-61
LK-6115,Kotavehera,LK-61
LK-6118,Rasnayakapura,LK-61
LK-6121,Nikaweratiya,LK-61
LK-6124,Maho,LK-61
LK-6127,Polpithigama,LK-61
LK-6130,Ibbagamuwa,LK-61
LK-6133,Ganewatta,LK-61
LK-6136,Wariyapola,LK-61
LK-6139,Kobeigane,LK-61
LK-6142,Bingiriya,LK-61
LK-6145,Panduwasnuwara West,LK-61
LK-6148,Panduwasnuwara East,LK-61
LK-6149,Bamunakotuwa,LK-61
LK-6151,Maspotha,LK-61
LK-6154,Kurunegala,LK-61
LK-6157,Mallawapitiya,LK-61
LK-6160,Mawathagama,LK-61
LK-6163,Rideegama,LK-61
