entity_id	total_population	male	female
EC-07G	104333.0	50253.0	54080.0
EC-07H	101749.0	48796.0	52953.0
EC-07I	128107.0	60769.0	67338.0
EC-07J	107269.0	50882.0	56387.0
EC-08	814048.0	389902.0	424146.0
EC-08A	134150.0	65589.0	68561.0
EC-08B	114414.0	54991.0	59423.0
EC-08C	120072.0	57400.0	62672.0
EC-08D	101741.0	48420.0	53321.0
EC-08E	102925.0	48861.0	54064.0
EC-08F	115805.0	54810.0	60995.0
EC-08G	124941.0	59831.0	65110.0
EC-09	599903.0	294736.0	305167.0
EC-09A	126950.0	61285.0	65665.0
EC-09B	97910.0	46672.0	51238.0
EC-09C	156392.0	76596.0	79796.0
EC-09D	218651.0	110183.0	108468.0
EC-10	697392.0	329956.0	367436.0
EC-10A	72726.0	34853.0	37873.0
EC-10B	65023.0	30385.0	34638.0
EC-10C	10003.0	4718.0	5285.0
EC-10D	82501.0	38480.0	44021.0
EC-10E	76997.0	36179.0	40818.0
EC-10F	51768.0	24091.0	27677.0
EC-10G	41527.0	19444.0	22083.0
EC-10H	64704.0	30483.0	34221.0
EC-10I	68142.0	31624.0	36518.0
EC-10J	50491.0	23916.0	26575.0
EC-10K	113510.0	55783.0	57727.0
EC-11	363923.0	180804.0	183119.0
EC-11A	99570.0	50053.0	49517.0
EC-11B	172115.0	84715.0	87400.0
EC-11C	92238.0	46036.0	46202.0
EC-12	526567.0	250676.0	275891.0
EC-12A	162149.0	78353.0	83796.0
EC-12B	242663.0	114425.0	128238.0
EC-12C	121755.0	57898.0	63857.0
EC-13	649402.0	314352.0	335050.0
EC-13A	221771.0	109785.0	111986.0
EC-13B	114791.0	54818.0	59973.0
EC-13C	99893.0	47656.0	52237.0
EC-13D	212947.0	102093.0	110854.0
EC-14	379541.0	187472.0	192069.0
EC-14A	103849.0	51521.0	52328.0
EC-14B	134252.0	65710.0	68542.0
EC-14C	141440.0	70241.0	71199.0
EC-15	1618465.0	777201.0	841264.0
