entity_id	employed	unemployed	economically_not_active	region_id
LG-53006	16859	1601	20691	0
LG-53007	7877	911	10141	0
LG-53008	14645	1354	17156	0
LG-53009	6605	687	9957	0
LG-53010	9179	1223	13646	0
LG-53011	15210	1428	20484	0
LG-53012	4799	184	4633	0
LG-53013	2800	204	4104	0
LG-61001	12754	603	9609	0
LG-61002	29195	1434	27910	0
LG-61003	28495	1704	29089	0
LG-61004	30243	1591	29894	0
LG-61005	28620	1607	26540	0
LG-61006	43190	2982	47212	0
LG-61007	35823	2039	36340	0
LG-61008	13992	672	12396	0
LG-61009	22251	1492	23028	0
LG-61010	36692	2096	32299	0
LG-61011	49596	3594	55763	0
LG-61012	8962	517	9678	0
LG-61013	23029	1485	24173	0
LG-61014	30057	2258	32892	0
LG-61015	35490	2384	38985	0
LG-61016	46747	2602	46209	0
LG-61017	2117	108	2048	0
LG-61018	18918	999	19628	0
LG-61019	50349	2152	43206	0
LG-61020	21745	927	21092	0
LG-61021	24845	1587	23271	0
LG-62001	38449	2046	38079	0
LG-62002	6579	350	5198	0
LG-62003	9965	379	6708	0
LG-62004	6282	263	4123	0
LG-62005	15950	940	18564	0
LG-62006	12723	715	17748	0
LG-62007	21756	1370	22336	0
LG-62008	30088	1312	23340	0
LG-62009	7421	518	9546	0
LG-62010	32816	1607	30880	0
LG-62011	39459	2103	43463	0
LG-62012	49120	2224	47912	0
LG-71001	9054	424	7269	0
LG-71002	8708	402	6750	0
LG-71003	18440	815	14334	0
LG-71004	26693	1458	20754	0
LG-71005	25009	1307	24316	0
LG-71006	13175	873	12141	0
LG-71007	14705	643	12888	0
LG-71008	13924	412	10666	0
LG-71009	18404	746	15168	0
LG-71010	10947	601	11982	0
LG-71011	16465	873	15998	0
LG-71012	12322	694	10022	0
LG-71013	22556	687	13335	0
LG-71014	11883	620	11204	0
LG-71015	36083	1831	30653	0
LG-71016	18243	759	12258	0
LG-71017	30676	1470	22992	0
LG-71018	14674	738	12867	0
LG-71019	13978	657	10330	0
LG-72001	24444	1394	22480	0
LG-72002	24525	1247	22865	0
LG-72003	12034	771	13372	0
LG-72004	11857	830	11559	0
LG-72005	29107	2051	27764	0
LG-72006	16811	1226	18011	0
LG-72007	12263	653	11840	0
LG-72008	16726	854	15314	0
LG-81001	31219	1750	22397	0
LG-81002	21954	698	14753	0
LG-81003	8509	283	5465	0
LG-81004	9621	405	6957	0
LG-81005	8621	600	7296	0
LG-81006	17486	1800	15881	0
LG-81007	11097	935	10255	0
LG-81008	14731	1176	15803	0
LG-81009	11299	866	11904	0
LG-81010	34568	2265	29277	0
LG-81012	38500	1912	33270	0
LG-81013	11730	668	10352	0
LG-81014	12245	882	14027	0
LG-81015	15892	1272	14059	0
LG-81016	15347	1200	13730	0
LG-81017	3235	311	2645	0
LG-81018	14659	1005	11448	0
LG-82001	13771	993	14558	0
LG-82002	12416	643	10060	0
LG-82003	12936	863	11911	0
LG-82004	21999	1032	16268	0
LG-82005	18110	1460	16870	0
LG-82006	15602	1097	12787	0
LG-82007	23820	1461	18508	0
LG-82008	20623	1686	17175	0
LG-82009	7116	470	5776	0
LG-82010	26773	1884	21826	0
LG-91001	26233	1722	23899	0
LG-91002	43732	2575	36974	0
LG-91003	28987	1994	19498	0
LG-91004	20291	1534	18924	0
LG-91005	21848	1561	19446	0
LG-91006	11734	942	12544	0
LG-91007	20541	1344	16420	0
LG-91008	24097	1717	18291	0
LG-91009	35501	2385	30810	0
LG-91010	40135	2861	32345	0
LG-91011	13817	1027	8904	0
LG-91012	23997	1081	13461	0
LG-91013	16685	1358	14175	0
LG-91014	26554	2194	28449	0
LG-91015	35076	2842	34495	0
LG-91016	13405	961	12986	0
LG-91017	18253	1372	14590	0
LG-92001	29260	2245	31307	0
LG-92002	34933	3000	43545	0
LG-92003	24438	1782	24701	0
LG-92004	26353	2094	29927	0
LG-92005	5601	362	6495	0
LG-92006	27765	1985	27345	0
LG-92007	42878	3206	40854	0
LG-92008	23372	1905	23473	0
LG-92009	17658	1271	16563	0
LG-92010	23140	1624	21083	0
LG-92011	31397	2294	27815	0
LG-92012	18498	1590	14580	0
LK	7233483	511901	7257205	0
LK-1	2212188	125518	2181974	0
LK-11	904028	44665	871752	0
LK-1103	110920	6209	123301	0
LK-1103005	2844	149	2487	0
LK-1103010	9672	466	10599	0
LK-1103015	5964	327	7044	0
LK-1103020	4639	219	4062	0
LK-1103025	3185	167	3195	0
LK-1103030	4499	272	5525	0
LK-1103035	4732	267	4766	0
LK-1103040	4755	261	5377	0
LK-1103045	2076	159	2965	0
LK-1103050	3111	172	4200	0
LK-1103055	3526	171	3812	0
LK-1103060	2821	205	3304	0
LK-1103065	2885	135	3211	0
LK-1103070	4003	402	5161	0
LK-1103075	5643	390	6757	0
LK-1103080	2854	196	3405	0
LK-1103085	2220	81	2744	0
LK-1103090	3584	219	4453	0
LK-1103095	4260	280	4620	0
LK-1103100	3032	128	4005	0
LK-1103105	2502	118	2852	0
LK-1103110	2850	163	2877	0
LK-1103115	1837	8	58	0
LK-1103120	1234	5	138	0
LK-1103125	1320	67	1431	0
LK-1103130	1320	58	1523	0
LK-1103135	2490	168	2498	0
LK-1103140	1301	95	1569	0
LK-1103145	2449	187	2646	0
LK-1103150	2750	114	3304	0
LK-1103155	2860	144	3697	0
LK-1103160	2786	95	3313	0
LK-1103165	1680	123	1740	0
LK-1103170	1062	34	1203	0
LK-1103175	2174	164	2760	0
LK-1106	69880	3937	70449	0
LK-1106005	3028	167	2323	0
LK-1106010	2741	107	2265	0
LK-1106015	764	39	901	0
LK-1106020	1945	181	1656	0
LK-1106025	798	20	707	0
LK-1106030	2321	131	1878	0
LK-1106035	3023	249	2954	0
LK-1106040	1615	83	1632	0
LK-1106045	1798	126	2240	0
LK-1106050	2528	108	2857	0
LK-1106055	1254	77	1400	0
LK-1106060	1714	73	1773	0
LK-1106065	1537	31	1506	0
LK-1106070	1110	80	987	0
LK-1106075	1799	86	1568	0
LK-1106080	1237	77	1240	0
LK-1106085	1246	130	1346	0
LK-1106090	1171	67	1347	0
LK-1106095	1482	74	1488	0
LK-1106100	778	48	853	0
LK-1106105	1317	50	1240	0
LK-1106110	765	62	987	0
LK-1106115	1954	81	2219	0
LK-1106120	1398	121	1555	0
LK-1106125	3316	144	3554	0
LK-1106130	1044	46	1283	0
LK-1106135	1645	83	1759	0
LK-1106140	1101	74	1128	0
LK-1106145	1938	96	1816	0
LK-1106150	1944	117	1887	0
LK-1106155	943	83	987	0
LK-1106160	762	67	747	0
LK-1106165	2252	118	2631	0
LK-1106170	949	50	891	0
LK-1106175	1494	86	1415	0
LK-1106180	1393	59	1149	0
LK-1106185	1575	74	1691	0
LK-1106190	753	41	770	0
LK-1106195	1049	68	965	0
LK-1106200	913	50	998	0
LK-1106205	1750	117	2002	0
LK-1106210	909	83	1428	0
LK-1106215	833	42	1084	0
LK-1106220	1673	73	1263	0
LK-1106225	1000	38	725	0
LK-1106230	1321	60	1354	0
LK-1109	101044	4820	92982	0
LK-1109005	1750	93	1989	0
LK-1109010	1540	58	1538	0
LK-1109015	1634	102	1524	0
LK-1109020	1894	146	1386	0
LK-1109025	1647	61	1584	0
LK-1109030	1456	72	1730	0
LK-1109035	1511	105	1366	0
LK-1109040	2347	104	1834	0
LK-1109045	1875	97	1775	0
LK-1109050	773	41	749	0
LK-1109055	2472	81	2445	0
LK-1109060	2079	100	1985	0
LK-1109065	1117	68	1279	0
LK-1109070	2813	116	3367	0
LK-1109075	1784	92	1541	0
LK-1109080	3613	155	3259	0
LK-1109085	1257	67	910	0
LK-1109090	804	52	671	0
LK-1109095	2290	81	1481	0
LK-1109100	779	46	794	0
LK-1109105	707	49	685	0
LK-1109110	1046	70	878	0
LK-1109115	2636	126	2587	0
LK-1109120	2059	142	1797	0
LK-1109125	2427	111	2191	0
LK-1109130	1979	107	1988	0
LK-1109135	1537	42	1529	0
LK-1109140	1092	69	1032	0
LK-1109145	2733	107	2534	0
LK-1109150	3841	204	3424	0
LK-1109155	3363	137	3312	0
LK-1109160	1679	91	1667	0
LK-1109165	1313	77	1068	0
LK-1109170	1335	55	800	0
LK-1109175	1083	46	930	0
LK-1109180	709	10	974	0
LK-1109185	3160	121	2615	0
LK-1109190	3055	139	2648	0
LK-1109195	2563	47	2276	0
LK-1109200	1683	133	1590	0
LK-1109205	2176	140	2345	0
LK-1109210	1156	81	1148	0
LK-1109215	1263	49	1085	0
LK-1109220	1939	117	1800	0
LK-1109225	2448	96	1868	0
LK-1109230	1021	34	961	0
LK-1109235	2234	90	1749	0
LK-1109240	858	50	911	0
LK-1109245	937	47	855	0
LK-1109250	1243	98	1152	0
LK-1109255	646	23	640	0
LK-1109260	912	26	750	0
LK-1109265	1857	64	1758	0
LK-1109270	1330	34	1234	0
LK-1109275	1938	77	1654	0
LK-1109280	2189	112	1957	0
LK-1109285	1462	62	1383	0
LK-1112	95821	4323	85802	0
LK-1112005	2878	142	2549	0
LK-1112010	674	34	432	0
LK-1112015	619	31	505	0
LK-1112020	841	36	628	0
LK-1112025	705	40	592	0
LK-1112030	634	38	558	0
LK-1112035	1254	50	948	0
LK-1112040	1286	33	1036	0
LK-1112045	1022	64	923	0
LK-1112050	395	31	542	0
LK-1112055	1288	73	1063	0
LK-1112060	897	60	915	0
LK-1112065	698	40	645	0
LK-1112070	2640	112	2368	0
LK-1112075	1253	45	1074	0
LK-1112080	1930	92	1620	0
LK-1112085	1654	98	1447	0
LK-1112090	787	27	854	0
LK-1112095	573	28	522	0
LK-1112100	1231	44	1158	0
LK-1112105	969	20	170	0
LK-1112110	1131	97	1266	0
LK-1112115	747	42	666	0
LK-1112120	1297	49	1185	0
LK-1112125	1289	58	1084	0
LK-1112130	1567	64	1288	0
LK-1112135	1418	26	870	0
LK-1112140	867	22	835	0
LK-1112145	1030	60	1408	0
LK-1112150	1304	51	1161	0
LK-1112155	1503	111	1414	0
LK-1112160	816	44	772	0
LK-1112165	2705	118	2253	0
LK-1112170	1798	107	1680	0
LK-1112175	999	22	1066	0
LK-1112180	1232	79	1316	0
LK-1112185	1020	28	852	0
LK-1112190	1931	41	1488	0
LK-1112195	1489	59	1207	0
LK-1112200	1838	129	1206	0
LK-1112205	1791	67	1684	0
LK-1112210	1201	47	1107	0
LK-1112215	557	53	671	0
LK-1112220	1065	30	899	0
LK-1112225	998	57	910	0
LK-1112230	2047	78	1852	0
LK-1112235	719	44	806	0
LK-1112240	1542	41	1244	0
LK-1112245	2038	108	1560	0
LK-1112250	1360	74	1054	0
LK-1112255	967	49	898	0
LK-1112260	1650	100	1410	0
LK-1112265	1370	54	1102	0
LK-1112270	1004	47	1003	0
LK-1112275	1398	83	1405	0
LK-1112280	831	48	727	0
LK-1112285	1099	50	1021	0
LK-1112290	1640	41	1307	0
LK-1112295	560	19	604	0
LK-1112300	754	32	728	0
LK-1112305	1295	55	1121	0
LK-1112310	1149	18	1324	0
LK-1112315	1554	61	1607	0
LK-1112320	1110	66	1170	0
LK-1112325	875	43	780	0
LK-1112330	765	23	717	0
LK-1112335	708	34	580	0
LK-1112340	1227	52	1157	0
LK-1112345	1150	22	985	0
LK-1112350	754	22	825	0
LK-1112355	954	23	940	0
LK-1112360	1275	37	1161	0
LK-1112365	951	70	1000	0
LK-1112370	891	59	687	0
LK-1112375	1268	102	1054	0
LK-1112380	528	18	462	0
LK-1112385	726	30	825	0
LK-1112390	814	33	724	0
LK-1112395	326	23	392	0
LK-1112400	896	20	921	0
LK-1112405	1805	45	1812	0
LK-1115	45878	2577	38984	0
LK-1115005	717	19	545	0
LK-1115010	732	25	635	0
LK-1115015	469	23	358	0
LK-1115020	242	20	200	0
LK-1115025	816	78	718	0
LK-1115030	1497	46	981	0
LK-1115035	755	36	564	0
LK-1115040	434	9	225	0
LK-1115045	1117	33	707	0
LK-1115050	1170	27	667	0
LK-1115055	1303	42	798	0
LK-1115060	1048	36	572	0
LK-1115065	600	37	634	0
LK-1115070	1120	63	871	0
LK-1115075	484	26	555	0
LK-1115080	430	17	376	0
LK-1115085	435	21	450	0
LK-1115090	459	22	402	0
LK-1115095	604	17	491	0
LK-1115100	885	60	956	0
LK-1115105	676	40	747	0
LK-1115110	694	40	691	0
LK-1115115	529	9	470	0
LK-1115120	835	28	739	0
LK-1115125	741	27	597	0
LK-1115130	995	46	629	0
LK-1115135	648	66	621	0
LK-1115140	850	50	604	0
LK-1115145	1293	48	1020	0
LK-1115150	1440	119	1258	0
LK-1115155	525	26	451	0
LK-1115160	529	42	463	0
LK-1115165	724	47	624	0
LK-1115170	788	42	766	0
LK-1115175	564	26	529	0
LK-1115180	747	12	834	0
LK-1115185	1380	97	1177	0
LK-1115190	333	19	373	0
LK-1115195	481	34	551	0
LK-1115200	586	32	532	0
LK-1115205	1313	56	981	0
LK-1115210	563	57	526	0
LK-1115215	652	18	591	0
LK-1115220	448	11	443	0
LK-1115225	627	35	684	0
LK-1115230	508	92	381	0
LK-1115235	625	15	433	0
LK-1115240	924	72	583	0
LK-1115245	405	23	433	0
LK-1115250	524	34	604	0
LK-1115255	586	82	576	0
LK-1115260	248	23	248	0
LK-1115265	649	29	607	0
LK-1115270	414	29	347	0
LK-1115275	731	62	638	0
LK-1115280	605	48	651	0
LK-1115285	967	75	1054	0
LK-1115290	341	15	284	0
LK-1115295	508	50	389	0
LK-1115300	236	10	213	0
LK-1115305	269	10	131	0
LK-1115310	296	35	195	0
LK-1115315	303	40	227	0
LK-1115320	268	24	290	0
LK-1115325	437	38	479	0
LK-1115330	594	32	635	0
LK-1115335	736	41	684	0
LK-1115340	426	14	296	0
LK-1118	25713	1363	23351	0
LK-1118005	306	24	338	0
LK-1118010	629	31	508	0
LK-1118015	342	14	320	0
LK-1118020	703	57	608	0
LK-1118025	320	20	266	0
LK-1118030	405	43	299	0
LK-1118035	706	40	698	0
LK-1118040	428	23	374	0
LK-1118045	299	25	238	0
LK-1118050	535	27	505	0
LK-1118055	718	62	681	0
LK-1118060	309	1	255	0
LK-1118065	492	15	597	0
LK-1118070	427	42	539	0
LK-1118075	1063	66	1001	0
LK-1118080	951	29	863	0
LK-1118085	472	14	487	0
LK-1118090	1259	54	1032	0
LK-1118095	582	20	547	0
LK-1118100	859	33	801	0
LK-1118105	410	26	440	0
LK-1118110	885	62	742	0
LK-1118115	721	40	647	0
LK-1118120	567	39	587	0
LK-1118125	884	46	887	0
LK-1118130	352	48	425	0
LK-1118135	547	25	479	0
LK-1118140	477	16	418	0
LK-1118145	599	17	528	0
LK-1118150	448	2	319	0
LK-1118155	471	39	525	0
