id	name	country_id	province_id	district_id	lg_id	lg_type	population	area	subs	supers	eqs	ints	centroid	centroid_altitude
LG-11330	Moratuwa MC	LK	LK-1	LK-11	LG-11330	MC	168280	19.3	['LK-1133005', 'LK-1133010', 'LK-1133015', 'LK-1133020', 'LK-1133025', 'LK-1133030', 'LK-1133035', 'LK-1133040', 'LK-1133045', 'LK-1133050', 'LK-1133055', 'LK-1133060', 'LK-1133065', 'LK-1133070', 'LK-1133075', 'LK-1133080', 'LK-1133085', 'LK-1133090', 'LK-1133095', 'LK-1133100', 'LK-1133105', 'LK-1133110', 'LK-1133115', 'LK-1133120', 'LK-1133125', 'LK-1133130', 'LK-1133135', 'LK-1133140', 'LK-1133145', 'LK-1133150', 'LK-1133155', 'LK-1133160', 'LK-1133165', 'LK-1133170', 'LK-1133175', 'LK-1133180', 'LK-1133185', 'LK-1133190', 'LK-1133195', 'LK-1133200', 'LK-1133205', 'LK-1133210']	['EC-01', 'LK-11']	['EC-01O', 'LK-1133', 'MOH-11330']	[]	[6.782516165399739, 79.89101305489943]	24
LG-11361	Boralesgamuwa UC	LK	LK-1	LK-11	LG-11361	UC	60110	11.09	['LK-1136005', 'LK-1136010', 'LK-1136015', 'LK-1136020', 'LK-1136025', 'LK-1136030', 'LK-1136035', 'LK-1136040', 'LK-1136045', 'LK-1136050', 'LK-1136055', 'LK-1136060', 'LK-1136065', 'LK-1136070', 'LK-1136075', 'LK-1136085', 'LK-1136090', 'LK-1136215']	['EC-01N', 'LK-1136']	['MOH-11361']	[]	[6.839068326748335, 79.90269894315279]	13
LG-11362	Kesbewa UC	LK	LK-1	LK-11	LG-11362	UC	185122	50.8	['LK-1136080', 'LK-1136095', 'LK-1136100', 'LK-1136105', 'LK-1136110', 'LK-1136115', 'LK-1136120', 'LK-1136125', 'LK-1136130', 'LK-1136135', 'LK-1136140', 'LK-1136145', 'LK-1136150', 'LK-1136155', 'LK-1136160', 'LK-1136165', 'LK-1136170', 'LK-1136175', 'LK-1136180', 'LK-1136185', 'LK-1136190', 'LK-1136195', 'LK-1136200', 'LK-1136205', 'LK-1136210', 'LK-1136220', 'LK-1136225', 'LK-1136230', 'LK-1136235', 'LK-1136240', 'LK-1136245', 'LK-1136250', 'LK-1136255', 'LK-1136260', 'LK-1136265', 'LK-1136270', 'LK-1136275', 'LK-1136280', 'LK-1136285', 'LK-1136290', 'LK-1136295', 'LK-1136300', 'LK-1136305', 'LK-1136310', 'LK-1136315', 'LK-1136320', 'LK-1136325', 'LK-1136330', 'LK-1136335', 'LK-1136340', 'LK-1136345', 'LK-1136350', 'LK-1136355', 'LK-1136360', 'LK-1136365']	['EC-01N', 'LK-1136']	['MOH-11362']	[]	[6.795735172894516, 79.9339367549315]	35
LG-12030	Negombo MC	LK	LK-1	LK-12	LG-12030	MC	142136	28.01	['LK-1203005', 'LK-1203010', 'LK-1203015', 'LK-1203020', 'LK-1203025', 'LK-1203030', 'LK-1203035', 'LK-1203040', 'LK-1203045', 'LK-1203050', 'LK-1203055', 'LK-1203060', 'LK-1203065', 'LK-1203070', 'LK-1203075', 'LK-1203080', 'LK-1203085', 'LK-1203090', 'LK-1203095', 'LK-1203100', 'LK-1203105', 'LK-1203110', 'LK-1203115', 'LK-1203120', 'LK-1203125', 'LK-1203130', 'LK-1203135', 'LK-1203140', 'LK-1203145', 'LK-1203150', 'LK-1203155', 'LK-1203160', 'LK-1203165', 'LK-1203170', 'LK-1203175', 'LK-1203180', 'LK-1203185', 'LK-1203190', 'LK-1203195']	['EC-02', 'LK-12']	['EC-02B', 'LK-1203', 'MOH-12030']	[]	[7.212874789862919, 79.8446865179599]	10
LG-12061	Katana PS	LK	LK-1	LK-12	LG-12061	PS	178635	90.35	['LK-1206190', 'LK-1206195', 'LK-1206200', 'LK-1206235', 'LK-1206240', 'LK-1206245', 'LK-1206250', 'LK-1206270', 'LK-1206275', 'LK-1206280', 'LK-1206285', 'LK-1206290', 'LK-1206295', 'LK-1206300', 'LK-1206305', 'LK-1206310', 'LK-1206315', 'LK-1206320', 'LK-1206325', 'LK-1206355', 'LK-1206360', 'LK-1206365', 'LK-1206370', 'LK-1206375', 'LK-1206380', 'LK-1206385', 'LK-1206390', 'MOH-12061']	['EC-02C', 'LK-1206']	[]	['MOH-12062']	[7.203741180467336, 79.89239243485835]	21
LG-12062	Katunayake Seeduwa UC	LK	LK-1	LK-12	LG-12062	UC	56656	17.59	['LK-1206205', 'LK-1206210', 'LK-1206215', 'LK-1206220', 'LK-1206225', 'LK-1206230', 'LK-1206255', 'LK-1206260', 'LK-1206265', 'LK-1206330', 'LK-1206335', 'LK-1206340', 'LK-1206345', 'LK-1206350', 'LK-1206395']	['MOH-12062']	[]	[]	[7.145921022354149, 79.87517252564611]	9
LG-12090	Divulapitiya PS	LK	LK-1	LK-12	LG-12090	PS	144506	206.6	['LK-1209005', 'LK-1209010', 'LK-1209015', 'LK-1209020', 'LK-1209025', 'LK-1209030', 'LK-1209035', 'LK-1209040', 'LK-1209045', 'LK-1209050', 'LK-1209055', 'LK-1209060', 'LK-1209065', 'LK-1209070', 'LK-1209075', 'LK-1209080', 'LK-1209085', 'LK-1209090', 'LK-1209095', 'LK-1209100', 'LK-1209105', 'LK-1209110', 'LK-1209115', 'LK-1209120', 'LK-1209125', 'LK-1209130', 'LK-1209135', 'LK-1209140', 'LK-1209145', 'LK-1209150', 'LK-1209155', 'LK-1209160', 'LK-1209165', 'LK-1209170', 'LK-1209175', 'LK-1209180', 'LK-1209185', 'LK-1209190', 'LK-1209195', 'LK-1209200', 'LK-1209205', 'LK-1209210', 'LK-1209215', 'LK-1209220', 'LK-1209225', 'LK-1209230', 'LK-1209235', 'LK-1209240', 'LK-1209245', 'LK-1209250', 'LK-1209255', 'LK-1209260', 'LK-1209265', 'LK-1209270', 'LK-1209275', 'LK-1209280', 'LK-1209285', 'LK-1209290', 'LK-1209295', 'LK-1209300', 'LK-1209305', 'LK-1209310', 'LK-1209315', 'LK-1209320', 'LK-1209325', 'LK-1209330', 'LK-1209335', 'LK-1209340', 'LK-1209345', 'LK-1209350', 'LK-1209355', 'LK-1209360', 'LK-1209365', 'LK-1209370', 'LK-1209375', 'LK-1209380', 'LK-1209385', 'LK-1209390', 'LK-1209395', 'LK-1209400', 'LK-1209405', 'LK-1209410', 'LK-1209415', 'LK-1209420', 'LK-1209425', 'LK-1209430', 'LK-1209435', 'LK-1209440', 'LK-1209445', 'LK-1209450', 'LK-1209455', 'LK-1209460', 'LK-1209465', 'LK-1209470', 'LK-1209475', 'LK-1209480', 'LK-1209485', 'LK-1209490', 'LK-1209495', 'LK-1209500', 'LK-1209505', 'LK-1209510', 'LK-1209515', 'LK-1209520', 'LK-1209525', 'LK-1209530', 'LK-1209535', 'LK-1209540', 'LK-1209545', 'LK-1209550', 'LK-1209555', 'LK-1209560', 'LK-1209565', 'LK-1209570', 'LK-1209575', 'LK-1209580', 'LK-1209585', 'LK-1209590', 'LK-1209595', 'LK-1209600', 'LK-1209605', 'LK-1209610', 'LK-1209615']	['EC-02', 'LK-12']	['EC-02D', 'LK-1209', 'MOH-12090']	[]	[7.254016753729893, 80.00747218087442]	26
LG-12120	Mirigama PS	LK	LK-1	LK-12	LG-12120	PS	164580	188.71	['LK-1212005', 'LK-1212010', 'LK-1212015', 'LK-1212020', 'LK-1212025', 'LK-1212030', 'LK-1212035', 'LK-1212040', 'LK-1212045', 'LK-1212050', 'LK-1212055', 'LK-1212060', 'LK-1212065', 'LK-1212070', 'LK-1212075', 'LK-1212080', 'LK-1212085', 'LK-1212090', 'LK-1212095', 'LK-1212100', 'LK-1212105', 'LK-1212110', 'LK-1212115', 'LK-1212120', 'LK-1212125', 'LK-1212130', 'LK-1212135', 'LK-1212140', 'LK-1212145', 'LK-1212150', 'LK-1212155', 'LK-1212160', 'LK-1212165', 'LK-1212170', 'LK-1212175', 'LK-1212180', 'LK-1212185', 'LK-1212190', 'LK-1212195', 'LK-1212200', 'LK-1212205', 'LK-1212210', 'LK-1212215', 'LK-1212220', 'LK-1212225', 'LK-1212230', 'LK-1212235', 'LK-1212240', 'LK-1212245', 'LK-1212250', 'LK-1212255', 'LK-1212260', 'LK-1212265', 'LK-1212270', 'LK-1212275', 'LK-1212280', 'LK-1212285', 'LK-1212290', 'LK-1212295', 'LK-1212300', 'LK-1212305', 'LK-1212310', 'LK-1212315', 'LK-1212320', 'LK-1212325', 'LK-1212330', 'LK-1212335', 'LK-1212340', 'LK-1212345', 'LK-1212350', 'LK-1212355', 'LK-1212360', 'LK-1212365', 'LK-1212370', 'LK-1212375', 'LK-1212380', 'LK-1212385', 'LK-1212390', 'LK-1212395', 'LK-1212400', 'LK-1212405', 'LK-1212410', 'LK-1212415', 'LK-1212420', 'LK-1212425', 'LK-1212430', 'LK-1212435', 'LK-1212440', 'LK-1212445', 'LK-1212450', 'LK-1212455', 'LK-1212460', 'LK-1212465', 'LK-1212470', 'LK-1212475', 'LK-1212480', 'LK-1212485', 'LK-1212490', 'LK-1212495', 'LK-1212500', 'LK-1212505', 'LK-1212510', 'LK-1212515', 'LK-1212520', 'LK-1212525', 'LK-1212530', 'LK-1212535', 'LK-1212540', 'LK-1212545', 'LK-1212550', 'LK-1212555', 'LK-1212560', 'LK-1212565', 'LK-1212570', 'LK-1212575', 'LK-1212580', 'LK-1212585', 'LK-1212590', 'LK-1212595', 'LK-1212600', 'LK-1212605', 'LK-1212610', 'LK-1212615', 'LK-1212620', 'LK-1212625', 'LK-1212630', 'LK-1212635', 'LK-1212640', 'LK-1212645', 'LK-1212650', 'LK-1212655', 'LK-1212660', 'LK-1212665', 'LK-1212670', 'LK-1212675', 'LK-1212680', 'LK-1212685', 'LK-1212690', 'LK-1212695', 'LK-1212700', 'LK-1212705', 'LK-1212710', 'LK-1212715', 'LK-1212720', 'LK-1212725', 'LK-1212730', 'LK-1212735', 'LK-1212740', 'LK-1212745']	['EC-02', 'LK-12']	['EC-02E', 'LK-1212', 'MOH-12120']	[]	[7.224808068682941, 80.12379337279562]	105
LG-12151	Minuwangoda PS	LK	LK-1	LK-12	LG-12151	PS	170814	130.97	['LK-1215005', 'LK-1215010', 'LK-1215015', 'LK-1215020', 'LK-1215025', 'LK-1215030', 'LK-1215035', 'LK-1215040', 'LK-1215045', 'LK-1215050', 'LK-1215055', 'LK-1215060', 'LK-1215065', 'LK-1215070', 'LK-1215075', 'LK-1215080', 'LK-1215085', 'LK-1215090', 'LK-1215095', 'LK-1215100', 'LK-1215105', 'LK-1215110', 'LK-1215115', 'LK-1215130', 'LK-1215135', 'LK-1215140', 'LK-1215145', 'LK-1215150', 'LK-1215155', 'LK-1215160', 'LK-1215165', 'LK-1215170', 'LK-1215185', 'LK-1215190', 'LK-1215195', 'LK-1215200', 'LK-1215205', 'LK-1215210', 'LK-1215215', 'LK-1215220', 'LK-1215225', 'LK-1215230', 'LK-1215235', 'LK-1215240', 'LK-1215245', 'LK-1215250', 'LK-1215255', 'LK-1215260', 'LK-1215265', 'LK-1215270', 'LK-1215275', 'LK-1215280', 'LK-1215285', 'LK-1215295', 'LK-1215300', 'LK-1215305', 'LK-1215310', 'LK-1215315', 'LK-1215320', 'LK-1215325', 'LK-1215335', 'LK-1215340', 'LK-1215345', 'LK-1215350', 'LK-1215355', 'LK-1215360', 'LK-1215365', 'LK-1215370', 'LK-1215375', 'LK-1215380', 'LK-1215385', 'LK-1215390', 'LK-1215395', 'LK-1215400', 'LK-1215405', 'LK-1215410', 'LK-1215415', 'LK-1215420', 'LK-1215425', 'LK-1215430', 'LK-1215435', 'LK-1215440', 'LK-1215445', 'LK-1215450', 'LK-1215455', 'LK-1215460', 'LK-1215465', 'LK-1215470', 'LK-1215475', 'LK-1215480', 'LK-1215485', 'LK-1215490', 'LK-1215495', 'LK-1215500', 'LK-1215505', 'LK-1215510', 'LK-1215515', 'LK-1215520', 'LK-1215525', 'LK-1215530', 'LK-1215535', 'LK-1215540', 'LK-1215545', 'LK-1215550', 'LK-1215555', 'LK-1215560', 'LK-1215565', 'LK-1215570', 'LK-1215575', 'LK-1215580', 'LK-1215585', 'LK-1215590', 'LK-1215595', 'LK-1215600', 'LK-1215605']	['EC-02F', 'LK-1215', 'MOH-12150']	[]	[]	[7.154962875703794, 79.97870451182544]	9
LG-12152	Minuwangoda UC	LK	LK-1	LK-12	LG-12152	UC	7517	3.56	['LK-1215120', 'LK-1215125', 'LK-1215175', 'LK-1215180', 'LK-1215290', 'LK-1215330']	['EC-02F', 'LK-1215', 'MOH-12150']	[]	[]	[7.170534688264784, 79.95177769112924]	23
