id	name	country_id	province_id	district_id	moh_id	population	area	subs	supers	eqs	ints	centroid	centroid_altitude
MOH-11241	Nugegoda	LK	LK-1	LK-11	MOH-11241	85664	11.96	['LK-1124005', 'LK-1124010', 'LK-1124015', 'LK-1124020', 'LK-1124025', 'LK-1124030', 'LK-1124035', 'LK-1124065', 'LK-1124070', 'LK-1124075', 'LK-1124080', 'LK-1124085', 'LK-1124090', 'LK-1124095', 'LK-1124100']	['EC-01I', 'LG-11240', 'LK-1124']	[]	[]	[6.890707197947767, 79.8954875614733]	4
MOH-11300	Dehiwala	LK	LK-1	LK-11	MOH-11300	88962	8.54	['LK-1130005', 'LK-1130010', 'LK-1130015', 'LK-1130020', 'LK-1130025', 'LK-1130030', 'LK-1130035', 'LK-1130040', 'LK-1130045', 'LK-1130050', 'LK-1130055', 'LK-1130060', 'LK-1130065', 'LK-1130070', 'LK-1130075']	['LG-11301']	['EC-01F', 'LK-1130']	[]	[6.858488190680094, 79.87561778973246]	21
MOH-11310	Rathmalana	LK	LK-1	LK-11	MOH-11310	95506	13.35	['LK-1131005', 'LK-1131010', 'LK-1131015', 'LK-1131020', 'LK-1131025', 'LK-1131030', 'LK-1131035', 'LK-1131040', 'LK-1131045', 'LK-1131050', 'LK-1131055', 'LK-1131060', 'LK-1131065']	['LG-11301']	['EC-01G', 'LK-1131']	[]	[6.827126053869761, 79.87842493421877]	10
MOH-11330	Moratuwa	LK	LK-1	LK-11	MOH-11330	168280	19.3	['LK-1133005', 'LK-1133010', 'LK-1133015', 'LK-1133020', 'LK-1133025', 'LK-1133030', 'LK-1133035', 'LK-1133040', 'LK-1133045', 'LK-1133050', 'LK-1133055', 'LK-1133060', 'LK-1133065', 'LK-1133070', 'LK-1133075', 'LK-1133080', 'LK-1133085', 'LK-1133090', 'LK-1133095', 'LK-1133100', 'LK-1133105', 'LK-1133110', 'LK-1133115', 'LK-1133120', 'LK-1133125', 'LK-1133130', 'LK-1133135', 'LK-1133140', 'LK-1133145', 'LK-1133150', 'LK-1133155', 'LK-1133160', 'LK-1133165', 'LK-1133170', 'LK-1133175', 'LK-1133180', 'LK-1133185', 'LK-1133190', 'LK-1133195', 'LK-1133200', 'LK-1133205', 'LK-1133210']	['EC-01', 'LK-11']	['EC-01O', 'LG-11330', 'LK-1133']	[]	[6.782516165399739, 79.89101305489943]	24
MOH-11361	Boralesgamuwa	LK	LK-1	LK-11	MOH-11361	60110	11.09	['LK-1136005', 'LK-1136010', 'LK-1136015', 'LK-1136020', 'LK-1136025', 'LK-1136030', 'LK-1136035', 'LK-1136040', 'LK-1136045', 'LK-1136050', 'LK-1136055', 'LK-1136060', 'LK-1136065', 'LK-1136070', 'LK-1136075', 'LK-1136085', 'LK-1136090', 'LK-1136215']	['EC-01N', 'LK-1136']	['LG-11361']	[]	[6.839068326748335, 79.90269894315279]	13
MOH-11362	Piliyandala	LK	LK-1	LK-11	MOH-11362	185122	50.8	['LK-1136080', 'LK-1136095', 'LK-1136100', 'LK-1136105', 'LK-1136110', 'LK-1136115', 'LK-1136120', 'LK-1136125', 'LK-1136130', 'LK-1136135', 'LK-1136140', 'LK-1136145', 'LK-1136150', 'LK-1136155', 'LK-1136160', 'LK-1136165', 'LK-1136170', 'LK-1136175', 'LK-1136180', 'LK-1136185', 'LK-1136190', 'LK-1136195', 'LK-1136200', 'LK-1136205', 'LK-1136210', 'LK-1136220', 'LK-1136225', 'LK-1136230', 'LK-1136235', 'LK-1136240', 'LK-1136245', 'LK-1136250', 'LK-1136255', 'LK-1136260', 'LK-1136265', 'LK-1136270', 'LK-1136275', 'LK-1136280', 'LK-1136285', 'LK-1136290', 'LK-1136295', 'LK-1136300', 'LK-1136305', 'LK-1136310', 'LK-1136315', 'LK-1136320', 'LK-1136325', 'LK-1136330', 'LK-1136335', 'LK-1136340', 'LK-1136345', 'LK-1136350', 'LK-1136355', 'LK-1136360', 'LK-1136365']	['EC-01N', 'LK-1136']	['LG-11362']	[]	[6.795735172894516, 79.9339367549315]	35
MOH-12030	Negambo	LK	LK-1	LK-12	MOH-12030	142136	28.01	['LK-1203005', 'LK-1203010', 'LK-1203015', 'LK-1203020', 'LK-1203025', 'LK-1203030', 'LK-1203035', 'LK-1203040', 'LK-1203045', 'LK-1203050', 'LK-1203055', 'LK-1203060', 'LK-1203065', 'LK-1203070', 'LK-1203075', 'LK-1203080', 'LK-1203085', 'LK-1203090', 'LK-1203095', 'LK-1203100', 'LK-1203105', 'LK-1203110', 'LK-1203115', 'LK-1203120', 'LK-1203125', 'LK-1203130', 'LK-1203135', 'LK-1203140', 'LK-1203145', 'LK-1203150', 'LK-1203155', 'LK-1203160', 'LK-1203165', 'LK-1203170', 'LK-1203175', 'LK-1203180', 'LK-1203185', 'LK-1203190', 'LK-1203195']	['EC-02', 'LK-12']	['EC-02B', 'LG-12030', 'LK-1203']	[]	[7.212874789862919, 79.8446865179599]	10
MOH-12061	Katana	LK	LK-1	LK-12	MOH-12061	111806	59.16	['LK-1206005', 'LK-1206010', 'LK-1206015', 'LK-1206020', 'LK-1206025', 'LK-1206030', 'LK-1206035', 'LK-1206040', 'LK-1206045', 'LK-1206050', 'LK-1206055', 'LK-1206060', 'LK-1206065', 'LK-1206070', 'LK-1206075', 'LK-1206080', 'LK-1206085', 'LK-1206090', 'LK-1206095', 'LK-1206100', 'LK-1206105', 'LK-1206110', 'LK-1206115', 'LK-1206120', 'LK-1206125', 'LK-1206130', 'LK-1206135', 'LK-1206140', 'LK-1206145', 'LK-1206150', 'LK-1206155', 'LK-1206160', 'LK-1206165', 'LK-1206170', 'LK-1206175', 'LK-1206180', 'LK-1206185']	['LG-12061']	[]	[]	[7.229560809466841, 79.88862120116569]	23
MOH-12062	Seeduwa	LK	LK-1	LK-12	MOH-12062	123485	48.78	['LG-12062', 'LK-1206190', 'LK-1206195', 'LK-1206200', 'LK-1206235', 'LK-1206240', 'LK-1206245', 'LK-1206250', 'LK-1206270', 'LK-1206275', 'LK-1206280', 'LK-1206285', 'LK-1206290', 'LK-1206295', 'LK-1206300', 'LK-1206305', 'LK-1206310', 'LK-1206315', 'LK-1206320', 'LK-1206325', 'LK-1206355', 'LK-1206360', 'LK-1206365', 'LK-1206370', 'LK-1206375', 'LK-1206380', 'LK-1206385', 'LK-1206390']	['EC-02C', 'LK-1206']	[]	['LG-12061']	[7.151532728316066, 79.89067795365727]	20
MOH-12090	Divulapitiya	LK	LK-1	LK-12	MOH-12090	144506	206.6	['LK-1209005', 'LK-1209010', 'LK-1209015', 'LK-1209020', 'LK-1209025', 'LK-1209030', 'LK-1209035', 'LK-1209040', 'LK-1209045', 'LK-1209050', 'LK-1209055', 'LK-1209060', 'LK-1209065', 'LK-1209070', 'LK-1209075', 'LK-1209080', 'LK-1209085', 'LK-1209090', 'LK-1209095', 'LK-1209100', 'LK-1209105', 'LK-1209110', 'LK-1209115', 'LK-1209120', 'LK-1209125', 'LK-1209130', 'LK-1209135', 'LK-1209140', 'LK-1209145', 'LK-1209150', 'LK-1209155', 'LK-1209160', 'LK-1209165', 'LK-1209170', 'LK-1209175', 'LK-1209180', 'LK-1209185', 'LK-1209190', 'LK-1209195', 'LK-1209200', 'LK-1209205', 'LK-1209210', 'LK-1209215', 'LK-1209220', 'LK-1209225', 'LK-1209230', 'LK-1209235', 'LK-1209240', 'LK-1209245', 'LK-1209250', 'LK-1209255', 'LK-1209260', 'LK-1209265', 'LK-1209270', 'LK-1209275', 'LK-1209280', 'LK-1209285', 'LK-1209290', 'LK-1209295', 'LK-1209300', 'LK-1209305', 'LK-1209310', 'LK-1209315', 'LK-1209320', 'LK-1209325', 'LK-1209330', 'LK-1209335', 'LK-1209340', 'LK-1209345', 'LK-1209350', 'LK-1209355', 'LK-1209360', 'LK-1209365', 'LK-1209370', 'LK-1209375', 'LK-1209380', 'LK-1209385', 'LK-1209390', 'LK-1209395', 'LK-1209400', 'LK-1209405', 'LK-1209410', 'LK-1209415', 'LK-1209420', 'LK-1209425', 'LK-1209430', 'LK-1209435', 'LK-1209440', 'LK-1209445', 'LK-1209450', 'LK-1209455', 'LK-1209460', 'LK-1209465', 'LK-1209470', 'LK-1209475', 'LK-1209480', 'LK-1209485', 'LK-1209490', 'LK-1209495', 'LK-1209500', 'LK-1209505', 'LK-1209510', 'LK-1209515', 'LK-1209520', 'LK-1209525', 'LK-1209530', 'LK-1209535', 'LK-1209540', 'LK-1209545', 'LK-1209550', 'LK-1209555', 'LK-1209560', 'LK-1209565', 'LK-1209570', 'LK-1209575', 'LK-1209580', 'LK-1209585', 'LK-1209590', 'LK-1209595', 'LK-1209600', 'LK-1209605', 'LK-1209610', 'LK-1209615']	['EC-02', 'LK-12']	['EC-02D', 'LG-12090', 'LK-1209']	[]	[7.254016753729893, 80.00747218087442]	26
