id	name	country_id	province_id	district_id	ed_id	area	population	hasc	fips	subs	supers	eqs	ints	centroid	centroid_altitude
LK-52	Ampara	LK	LK-5	LK-52	EC-13	2984.0	649402	LK.AP	CE01	['EC-13A', 'EC-13B', 'EC-13C', 'EC-13D', 'LG-52152', 'LG-52361', 'MOH-52360', 'MOH-52420']	['LK-5']	['EC-13']	[]	[7.236989536338102, 81.55039094282465]	57
LK-53	Trincomalee	LK	LK-5	LK-53	EC-14	2616.0	379541	LK.TC	CE21	['EC-14A', 'EC-14B', 'EC-14C', 'LG-53153', 'LG-53272', 'LK-5327', 'MOH-53154', 'MOH-53272']	['LK-5']	['EC-14']	[]	[8.551240780202658, 81.09201363995585]	44
LK-61	Kurunegala	LK	LK-6	LK-61	EC-15	4771.0	1618465	LK.KG	CE12	['EC-15A', 'EC-15B', 'EC-15C', 'EC-15D', 'EC-15F', 'EC-15G', 'EC-15H', 'EC-15I', 'EC-15J', 'EC-15K', 'EC-15L', 'EC-15M', 'EC-15N', 'LG-61301', 'LG-61361', 'LG-61632', 'LG-61780', 'LK-6160', 'LK-6163', 'LK-6178', 'MOH-61632', 'MOH-61691', 'MOH-61780']	['LK-6']	['EC-15']	[]	[7.66477042953229, 80.2367701365547]	87
LK-62	Puttalam	LK	LK-6	LK-62	EC-16	2976.0	762396	LK.PX	CE19	['EC-16A', 'EC-16B', 'EC-16C', 'EC-16D', 'EC-16E', 'LG-62031', 'LG-62151', 'LG-62181', 'LG-62211', 'LG-62391', 'LG-62451']	['LK-6']	['EC-16']	[]	[7.973530726737427, 79.91383256703305]	29
LK-71	Anuradhapura	LK	LK-7	LK-71	EC-17	7128.0	860575	LK.AD	CE02	['EC-17A', 'EC-17B', 'EC-17C', 'EC-17D', 'EC-17E', 'EC-17F', 'EC-17G', 'LG-71151', 'MOH-71121']	['LK-7']	['EC-17']	[]	[8.391989506905762, 80.51295819484213]	97
LK-72	Polonnaruwa	LK	LK-7	LK-72	EC-18	3403.0	406088	LK.PR	CE18	['EC-18A', 'EC-18B', 'EC-18C']	['LK-7']	['EC-18']	[]	[7.993659052622247, 81.02606061005572]	46
LK-81	Badulla	LK	LK-8	LK-81	EC-19	2818.0	815405	LK.BD	CE03	['EC-19A', 'EC-19B', 'EC-19C', 'EC-19D', 'EC-19E', 'EC-19F', 'EC-19G', 'EC-19H', 'EC-19I', 'LG-81270', 'LG-81300', 'LK-8121', 'LK-8124', 'LK-8127', 'LK-8130', 'MOH-81210', 'MOH-81270', 'MOH-81300']	['LK-8']	['EC-19']	[]	[7.0745288840534055, 81.04485975851034]	449
LK-82	Moneragala	LK	LK-8	LK-82	EC-20	7133.0	451058	LK.MJ	CE16	['EC-20A', 'EC-20B', 'EC-20C', 'MOH-82091']	['LK-8']	['EC-20']	[]	[6.7875170424633335, 81.30374414358133]	255
LK-91	Ratnapura	LK	LK-9	LK-91	EC-21	3237.0	1088007	LK.RN	CE20	['EC-21A', 'EC-21B', 'EC-21C', 'EC-21D', 'EC-21E', 'EC-21F', 'EC-21G', 'EC-21H', 'LG-91240', 'LK-9112', 'LK-9124', 'MOH-91121']	['LK-9']	['EC-21']	[]	[6.586825781701908, 80.56615770931069]	203
LK-92	Kegalle	LK	LK-9	LK-92	EC-22	1663.0	840648	LK.KE	CE11	['EC-22A', 'EC-22B', 'EC-22D', 'EC-22E', 'EC-22F', 'EC-22G', 'EC-22H', 'EC-22I', 'LG-92060', 'LG-92090', 'LG-92150', 'LG-92180', 'LK-9203', 'LK-9206', 'LK-9209', 'LK-9215', 'LK-9218', 'LK-9221', 'MOH-92060', 'MOH-92092', 'MOH-92150', 'MOH-92180']	['LK-9']	['EC-22']	[]	[7.1042158396961135, 80.34286599082955]	141
